Gender,Year of Birth,Count
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
MALE,2016,193
MALE,2016,160
MALE,2016,157
MALE,2016,148
MALE,2016,138
MALE,2016,133
MALE,2016,81
MALE,2016,77
MALE,2016,76
MALE,2016,76
MALE,2016,73
MALE,2016,69
MALE,2016,67
MALE,2016,64
MALE,2016,62
MALE,2016,61
MALE,2016,60
MALE,2016,58
MALE,2016,58
MALE,2016,57
MALE,2016,57
MALE,2016,56
MALE,2016,55
MALE,2016,54
MALE,2016,54
MALE,2016,53
MALE,2016,51
MALE,2016,51
MALE,2016,49
MALE,2016,46
MALE,2016,45
MALE,2016,45
MALE,2016,44
MALE,2016,44
MALE,2016,42
MALE,2016,41
MALE,2016,40
MALE,2016,39
MALE,2016,38
MALE,2016,38
MALE,2016,37
MALE,2016,37
MALE,2016,37
MALE,2016,36
MALE,2016,36
MALE,2016,35
MALE,2016,35
MALE,2016,35
MALE,2016,34
MALE,2016,34
MALE,2016,33
MALE,2016,33
MALE,2016,33
MALE,2016,32
MALE,2016,32
MALE,2016,32
MALE,2016,30
MALE,2016,29
MALE,2016,29
MALE,2016,28
MALE,2016,28
MALE,2016,28
MALE,2016,27
MALE,2016,27
MALE,2016,27
MALE,2016,27
MALE,2016,27
MALE,2016,26
MALE,2016,25
MALE,2016,25
MALE,2016,25
MALE,2016,25
MALE,2016,25
MALE,2016,25
MALE,2016,24
MALE,2016,24
MALE,2016,24
MALE,2016,24
MALE,2016,24
MALE,2016,23
MALE,2016,23
MALE,2016,23
MALE,2016,23
MALE,2016,22
MALE,2016,22
MALE,2016,22
MALE,2016,22
MALE,2016,21
MALE,2016,21
MALE,2016,21
MALE,2016,21
MALE,2016,21
MALE,2016,21
MALE,2016,20
MALE,2016,20
MALE,2016,20
MALE,2016,20
MALE,2016,20
MALE,2016,20
MALE,2016,19
MALE,2016,19
MALE,2016,19
MALE,2016,19
MALE,2016,19
MALE,2016,19
MALE,2016,19
MALE,2016,18
MALE,2016,18
MALE,2016,18
MALE,2016,18
MALE,2016,18
MALE,2016,18
MALE,2016,18
MALE,2016,18
MALE,2016,18
MALE,2016,18
MALE,2016,18
MALE,2016,17
MALE,2016,17
MALE,2016,17
MALE,2016,17
MALE,2016,17
MALE,2016,17
MALE,2016,16
MALE,2016,16
MALE,2016,16
MALE,2016,15
MALE,2016,15
MALE,2016,15
MALE,2016,15
MALE,2016,15
MALE,2016,15
MALE,2016,15
MALE,2016,14
MALE,2016,14
MALE,2016,14
MALE,2016,14
MALE,2016,14
MALE,2016,14
MALE,2016,14
MALE,2016,14
MALE,2016,14
MALE,2016,14
MALE,2016,14
MALE,2016,14
MALE,2016,14
MALE,2016,13
MALE,2016,13
MALE,2016,13
MALE,2016,13
MALE,2016,13
MALE,2016,13
MALE,2016,13
MALE,2016,13
MALE,2016,13
MALE,2016,13
MALE,2016,13
MALE,2016,13
MALE,2016,12
MALE,2016,12
MALE,2016,12
MALE,2016,12
MALE,2016,12
MALE,2016,12
MALE,2016,12
MALE,2016,12
MALE,2016,12
MALE,2016,11
MALE,2016,11
MALE,2016,11
MALE,2016,11
MALE,2016,11
MALE,2016,11
MALE,2016,11
MALE,2016,11
MALE,2016,11
MALE,2016,11
MALE,2016,11
MALE,2016,11
MALE,2016,11
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,10
MALE,2016,148
MALE,2016,137
MALE,2016,116
MALE,2016,108
MALE,2016,107
MALE,2016,101
MALE,2016,95
MALE,2016,94
MALE,2016,91
MALE,2016,91
MALE,2016,80
MALE,2016,75
MALE,2016,71
MALE,2016,66
MALE,2016,65
MALE,2016,65
MALE,2016,64
MALE,2016,61
MALE,2016,58
MALE,2016,58
MALE,2016,57
MALE,2016,57
MALE,2016,56
MALE,2016,54
MALE,2016,52
MALE,2016,50
MALE,2016,47
MALE,2016,47
MALE,2016,47
MALE,2016,45
MALE,2016,45
MALE,2016,44
MALE,2016,44
MALE,2016,42
MALE,2016,41
MALE,2016,41
MALE,2016,40
MALE,2016,40
MALE,2016,39
MALE,2016,39
MALE,2016,38
MALE,2016,37
MALE,2016,37
MALE,2016,36
MALE,2016,35
MALE,2016,35
MALE,2016,35
MALE,2016,35
MALE,2016,35
MALE,2016,35
MALE,2016,34
MALE,2016,34
MALE,2016,34
MALE,2016,33
MALE,2016,33
MALE,2016,32
MALE,2016,32
MALE,2016,31
MALE,2016,31
MALE,2016,31
MALE,2016,31
MALE,2016,30
MALE,2016,29
MALE,2016,29
MALE,2016,29
MALE,2016,29
MALE,2016,29
MALE,2016,28
MALE,2016,28
